Precision,Accuracy,Time for iteration
0,13,0.58016037940979
1,27,0.6350743770599365
2,41,0.5856039524078369
3,55,0.5217585563659668
4,69,0.5841469764709473
5,84,0.5512135028839111
6,98,0.6140897274017334
7,112,0.5875790119171143
8,126,0.6612954139709473
9,141,0.6181645393371582
10,155,0.5292651653289795
11,169,0.6068191528320312
12,183,0.5564150810241699
13,197,0.6087086200714111
14,212,0.5804903507232666
15,226,0.497180700302124
16,240,0.5844969749450684
17,254,0.5785818099975586
18,268,0.6114029884338379
19,282,0.5545084476470947
20,296,0.6455569267272949
21,311,0.6204912662506104
22,325,0.5521960258483887
23,339,0.6030552387237549
24,353,0.5589215755462646
25,368,0.6112022399902344
26,382,0.5905623435974121
27,396,0.6406290531158447
28,410,0.5808639526367188
29,424,0.5318515300750732
30,439,0.6176192760467529
31,453,0.5601348876953125
32,467,0.6139974594116211
33,480,0.58382248878479
34,495,0.530768632888794
35,510,0.586726188659668
36,523,0.5646898746490479
37,538,0.6284496784210205
38,552,0.6042935848236084
39,566,0.7132039070129395
40,580,0.6744868755340576
41,595,0.5766463279724121
42,608,0.6701686382293701
43,623,0.5622494220733643
44,636,0.6261911392211914
45,651,0.5955865383148193
46,665,0.507122278213501
47,680,0.5955359935760498
48,694,0.56020188331604
49,708,0.6199579238891602
50,722,0.5581262111663818
51,736,0.6226449012756348
52,750,0.5923721790313721
53,760,0.5435214042663574
54,778,0.6025266647338867
55,792,0.5822217464447021
56,807,0.6234560012817383
57,822,0.5963099002838135
58,836,0.6534647941589355
59,850,0.6022381782531738
60,864,0.5391952991485596
61,878,0.6210753917694092
62,893,0.5693569183349609
63,906,0.6230158805847168
64,920,0.5912504196166992
65,935,0.5341849327087402
66,949,0.5978896617889404
67,964,0.5686976909637451
68,978,0.6219589710235596
69,992,0.5619158744812012
70,1006,0.6216654777526855
71,1020,0.5900530815124512
72,1035,0.5385704040527344
73,1049,0.6273558139801025
74,1063,0.564791202545166
75,1076,0.6185903549194336
76,1091,0.5967996120452881
77,1105,0.5122389793395996
78,1119,0.6072375774383545
79,1133,0.5620930194854736
80,1148,0.6305999755859375
81,1162,0.5707268714904785
82,1176,0.6235284805297852
83,1189,0.5980615615844727
84,1204,0.5421667098999023
85,1219,0.5945014953613281
86,1233,0.5705437660217285
87,1247,0.6283667087554932
88,1261,0.5982024669647217
89,1276,0.6559469699859619
90,1289,0.5921831130981445
91,1304,0.5352363586425781
92,1317,0.6283516883850098
93,1332,0.5672216415405273
94,1346,0.6219427585601807
95,1361,0.5965056419372559
96,1375,0.5402054786682129
97,1389,0.5966193675994873
98,1403,0.5712742805480957
99,1418,0.6303350925445557
100,1432,0.6023249626159668
101,1445,0.6260054111480713
102,1460,0.6082384586334229
103,1474,0.5388798713684082
104,1489,0.6326501369476318
105,1503,0.5710573196411133
106,1517,0.6336040496826172
107,1530,0.6027843952178955
108,1545,0.514108419418335
109,1559,0.5961172580718994
110,1574,0.5668067932128906
111,1586,0.627596378326416
112,1602,0.572253942489624
113,1615,0.6223890781402588
114,1630,0.5980696678161621
115,1644,0.5399644374847412
