#,Algorithm,Mode,Lib,DPS,Precision,Correct digits,Calculation time,Description
1,"Bellard formula, (no iteration time measurement)",single-threaded,mpmath,10001,3321,10000 / 10000,00:00:05:488,
2,"Bellard formula, (with iteration time measurement)",single-threaded,mpmath,10001,3321,10000 / 10000,00:00:13:204,
3,Bellard formula,multi-threaded,mpmath,10001,3321,10000 / 10000,00:00:05:713,
4,Bellard formula,multi-processed,mpmath,10001,3321,10000 / 10000,00:00:01:398,
5,Bellard formula,"MPI (size=4, dell)",mpmath,10001,3321,10000 / 10000,00:00:09:510,Start of dell
6,Bellard formula,"MPI (size=4, dell)",mpmath,10001,3321,10000 / 10000,00:00:16:405,
7,Bellard formula,MPI (size=10+2),mpmath,10001,3321,10000 / 10000,00:00:01:669,
8,Bellard formula,MPI (size=16+4),mpmath,10001,3321,10000 / 10000,00:00:01:795,
9,Bellard formula,MPI (size=16+4),mpmath,100001,33217,99998 / 100000,00:20:38:40,
10,Bellard formula,MPI (size=16+0),mpmath,100001,33218,99999 / 100000,00:15:19:28,
12,Bellard formula,MPI dynamic (16+4),mpmath,100001,33219,99999 / 100000,00:13:58:98,
13,Bellard formula,MPI dynamic (16+0),mpmath,100001,33219,99999 / 100000,00:16:11:468,
16,Bellard formula,MPI (16+4),decimal,10001,3321,9999 / 10000,00:00:00:916,
17,Bellard formula,MPI dynamic (16+4),decimal,10001,3321,9998 / 10000,00:00:02:450,
18,Bellard formula,MPI (16+4),decimal,100001,33219,99998 / 100000,00:02:21:531,
19,Bellard formula,MPI dynamic (16+4),decimal,100001,33219,99997 / 100000,00:05:17:313,
20,Chudnovsky formula,MPI (16+4),decimal,10001,706,9999 / 10000,00:00:02:369,
21,Chudnovsky formula,MPI (16+4),decimal,100001,7052,100000 / 100000,00:16:28:647,
22,Chudnovsky formula,MPI dynamic (16+4),decimal,10001,706,9998 / 10000,00:00:01:823,
23,Chudnovsky formula,MPI dynamic (16+4),decimal,100001,7052,99998 / 100000,00:09:00:149,
24,Bellard formula,MPI dynamic,mpmath,50001,16609,49999 / 50000,00:01:56:44,
26,Bellard formula,MPI dynamic,mpmath,50001,16610,49999 / 50000,00:01:55:944,
27,Bellard formula,multi-processed,mpmath,50001,16610,49999 / 50000,00:13:24:631,
31,Bellard formula,MPI,mpmath,50001,16609,50000 / 50000,00:02:43:358,
34,Bellard formula,MPI dynamic,mpmath,50001,16000,48168 / 50000,00:01:51:532,
35,Bellard formula,MPI,decimal,50001,16609,49999 / 50000,00:00:34:291,
36,Bellard formula,MPI dynamic,decimal,50001,16609,50000 / 50000,00:00:53:849,
37,Chudnovsky formula,MPI,decimal,50001,3526,50000 / 50000,00:02:54:569,
38,Chudnovsky formula,MPI dynamic,decimal,50001,3526,49998 / 50000,00:01:48:927,End of dell
39,"Bellard formula, (with iteration time measurement)",single-threaded,mpmath,100001,33219,99999 / 100000,01:41:56:13,
41,"Bellard formula, (no iteration time measurement)",single-threaded,mpmath,10001,3321,10000 / 10000,00:00:05:534,
42,Bellard formula,multi-threaded,mpmath,10001,3321,10000 / 10000,00:00:05:682,
43,Bellard formula,multi-processed,mpmath,10001,3321,10000 / 10000,00:00:01:384,
43,Bellard formula,multi-processed,mpmath,50001,16607,49997 / 50000,00:02:36:549,
44,Bellard formula,multi-processed,mpmath,50001,16608,49999 / 50000,00:02:30:708,
45,Bellard formula,multi-processed,mpmath,50002,16608,49999 / 50001,00:02:45:682,
47,Bellard formula,multi-processed,mpmath,50002,16609,50000 / 50001,00:02:25:271,
48,Bellard formula,multi-processed,mpmath,50001,16609,49999 / 50000,00:02:43:458,
49,"Bellard formula, (no iteration time measurement)",single-threaded,mpmath,50001,16609,49999 / 50000,00:08:08:851,
50,Bellard formula,multi-threaded,mpmath,50001,16609,49999 / 50000,00:08:53:467,
51,"Bellard formula, (no iteration time measurement)",single-threaded,mpmath,100001,33217,99998 / 100000,01:01:16:150,
52,Bellard formula,multi-threaded,mpmath,100001,33217,99998 / 100000,01:21:26:333,
53,Bellard formula,multi-processed,mpmath,100001,33217,99998 / 100000,00:20:04:125,
54,"Bellard formula, (no iteration time measurement)",single-threaded,mpmath,100001,8304,25000 / 25000,00:01:10:540,
55,"Bellard formula, (no iteration time measurement)",single-threaded,mpmath,100001,24912,74997 / 75000,00:27:57:365,
56,"Chudnovsky formula (no factorial), (no iteration time measurement)",single-threaded,mpmath,10001,706,10000 / 10000,00:00:00:591,
57,"Chudnovsky formula (factorial), (no iteration time measurement)",single-threaded,mpmath,10001,706,10000 / 10000,00:00:03:387,
58,Chudnovsky formula (factorial),multi-processed,mpmath,10001,706,10000 / 10000,00:00:01:291,
59,"Chudnovsky formula (no factorial), (no iteration time measurement)",single-threaded,mpmath,50001,3526,49999 / 50000,00:00:46:116,
60,"Chudnovsky formula (factorial), (no iteration time measurement)",single-threaded,mpmath,50001,3526,49999 / 50000,00:03:59:423,before separation
61,"Chudnovsky formula (factorial), (no iteration time measurement)",single-threaded,mpmath,50001,3526,49999 / 50000,00:02:19:790,separated integer factorial calculation
62,Chudnovsky formula (factorial),multi-processed,mpmath,50001,3526,49999 / 50000,00:00:22:936,
63,"Chudnovsky formula (no factorial), (no iteration time measurement)",single-threaded,mpmath,100001,7052,99999 / 100000,00:05:05:698,
64,"Chudnovsky formula (no factorial), (with iteration time measurement)",single-threaded,mpmath,100001,7052,99999 / 100000,00:19:11:505,
65,"Chudnovsky formula (factorial), (no iteration time measurement)",single-threaded,mpmath,100001,7052,100000 / 100000,00:13:50:516,
66,"Chudnovsky formula (factorial), (with iteration time measurement)",single-threaded,mpmath,100001,7052,100000 / 100000,00:25:02:955,
67,Chudnovsky formula (factorial),multi-processed,mpmath,100001,7052,100000 / 100000,00:03:24:807,
61,Chudnovsky formula,MPI,mpmath,10001,706,10000 / 10000,00:00:00:603,
62,Chudnovsky formula,MPI dynamic,mpmath,10001,706,10000 / 10000,00:00:00:647,
63,Chudnovsky formula,MPI,mpmath,50001,3526,50000 / 50000,00:00:28:687,
64,Chudnovsky formula,MPI dynamic,mpmath,50001,3526,49999 / 50000,00:00:24:692,
65,Chudnovsky formula,MPI,mpmath,100001,7052,100000 / 100000,00:03:13:393,
66,Chudnovsky formula,MPI dynamic,mpmath,100001,7052,100000 / 100000,00:02:36:490,
64,Bellard formula,MPI dynamic,mpmath,10001,3321,10000 / 10000,00:00:02:688,
65,Bellard formula,MPI dynamic,mpmath,50001,16609,49999 / 50000,00:01:49:5,
66,Bellard formula,MPI dynamic,mpmath,100001,33217,99998 / 100000,00:13:57:849,
67,"Chudnovsky formula (no factorial), (no iteration time measurement)",single-threaded,mpmath,50001,3526,49999 / 50000,00:00:44:117,
68,"Chudnovsky formula (no factorial), (no iteration time measurement)",single-threaded,mpmath,10001,706,10000 / 10000,00:00:00:583,
69,"Chudnovsky formula (factorial), (no iteration time measurement)",single-threaded,mpmath,10001,706,10000 / 10000,00:00:02:230,
70,Chudnovsky formula (factorial),multi-processed,mpmath,10001,706,10000 / 10000,00:00:00:885,
